Date,total_pnl,avg_pnl_per_trade,trade_count,pnl_volatility,total_volume,avg_trade_size,active_traders,buy_ratio,win_rate,profit_factor,classification,value,sentiment_score
5/1/2023,0,0,3,0,477,159,1,0,0,0,Greed,63,4
12/5/2023,0,0,9,0,50005.83,5556.2033,1,0,0,0,Extreme Greed,75,5
12/14/2023,-205.4347,-18.6759,11,179.6635,113203.35,10291.2136,1,0,0.363636364,-0.181474046,Greed,72,4
12/15/2023,-24.632,-12.316,2,4.4743,10609.95,5304.975,1,0,0,-0.232159435,Greed,70,4
12/16/2023,0,0,3,0,15348.77,5116.2567,1,0,0,0,Greed,67,4
12/17/2023,304.9828,21.7845,14,43.5126,116278.02,8305.5729,1,0,0.5,0.262287576,Greed,73,4
12/18/2023,0,0,2,0,31164.18,15582.09,1,0,0,0,Greed,65,4
12/19/2023,1000.5386,66.7026,15,183.7354,91602.41,6106.8273,1,0,0.666666667,1.092262311,Greed,73,4
12/20/2023,162.7323,9.0407,18,21.3481,141636.79,7868.7106,1,0,0.444444444,0.114894089,Greed,74,4
12/21/2023,537.2114,10.9635,49,20.8116,125233.97,2555.7953,1,0,0.530612245,0.428966198,Greed,70,4
12/22/2023,141.8327,14.1833,10,40.9267,88874.28,8887.428,1,0,0.2,0.159588016,Greed,74,4
12/23/2023,146.9367,11.3028,13,11.4784,78438.25,6033.7115,1,0,0.615384615,0.187327866,Greed,70,4
12/24/2023,1008.62,25.8621,39,52.267,402954.94,10332.1779,1,0,0.384615385,0.250305903,Greed,71,4
12/25/2023,-245.0813,-81.6938,3,141.4978,59948.51,19982.8367,1,0,0,-0.408819669,Greed,73,4
12/27/2023,-704.8892,-25.1746,28,153.6746,171411.06,6121.8236,1,0,0.142857143,-0.411227374,Greed,73,4
12/28/2023,-970.7309,-42.2057,23,55.0151,100117.25,4352.9239,1,0,0,-0.969594051,Greed,73,4
12/29/2023,508.9221,10.1784,50,78.1119,569559.72,11391.1944,1,0,0.3,0.089353598,Greed,65,4
12/30/2023,354.9986,6.8269,52,68.4019,702550.21,13510.581,1,0,0.442307692,0.050529997,Greed,68,4
1/1/2024,-129.5315,-7.1962,18,85.8478,264239.53,14679.9739,1,0,0.055555556,-0.049020485,Greed,65,4
1/2/2024,783.9791,46.1164,17,134.4283,121348.74,7138.1612,1,0,0.470588235,0.646054586,Greed,71,4
1/3/2024,866.0155,12.9256,67,50.4154,394499.36,5888.0501,1,0,0.417910448,0.219522663,Greed,70,4
1/4/2024,-67.6036,-13.5207,5,29.544,99792.54,19958.508,1,0,0,-0.067744142,Greed,68,4
1/5/2024,164.1416,2.487,66,60.7236,1703942.66,25817.313,1,0,0.196969697,0.009633047,Greed,72,4
1/6/2024,135.5817,6.1628,22,37.3384,298521.4,13569.1545,1,0,0.454545455,0.045417749,Greed,70,4
1/7/2024,-835.6812,-8.6153,97,34.0379,1048850.06,10812.8872,1,0,0.092783505,-0.079675945,Greed,71,4
1/8/2024,-269.8744,-2.1084,128,122.4196,1522452.43,11894.1596,1,0,0.25,-0.017726294,Greed,71,4
1/9/2024,-826.3499,-11.805,70,214.1803,870051.97,12429.3139,1,0,0.257142857,-0.094977074,Extreme Greed,76,5
1/10/2024,-1517.0913,-7.8606,193,119.7894,2057479.48,10660.5154,1,0,0.212435233,-0.073735428,Greed,73,4
1/11/2024,-164.0895,-7.8138,21,101.9263,305314.1,14538.7667,2,0,0.238095238,-0.053744488,Extreme Greed,76,5
1/12/2024,-1925.519,-275.0741,7,669.928,200082.27,28583.1814,1,0,0,-0.962363632,Greed,71,4
1/15/2024,152.8536,10.9181,14,33.6458,50636.1,3616.8643,2,0,0.642857143,0.30186685,Neutral,52,3
1/16/2024,-2299.1715,-255.4635,9,883.8758,116427.33,12936.37,2,0,0.333333333,-1.974769584,Greed,64,4
1/17/2024,813.2741,15.3448,53,75.6265,800831.03,15110.0194,1,0,0.20754717,0.10155377,Greed,60,4
1/18/2024,68.9332,1.4985,46,39.5031,424631.53,9231.1202,1,0,0.065217391,0.016233651,Greed,63,4
1/19/2024,-385.4192,-8.0296,48,51.7985,428428.97,8925.6035,2,0,0.125,-0.08996105,Neutral,51,3
1/20/2024,-146.5749,-1.3828,106,38.5543,1070090.51,10095.1935,1,0,0.141509434,-0.01369743,Neutral,52,3
1/21/2024,266.5811,24.2346,11,65.5608,103129.74,9375.4309,1,0,0.272727273,0.258491004,Greed,56,4
1/22/2024,1375.641,16.184,85,80.4161,337878.99,3975.0469,2,0,0.270588235,0.407140142,Greed,55,4
1/23/2024,-369.2447,-8.2054,45,613.9644,414518.93,9211.5318,1,0,0.244444444,-0.089077886,Neutral,50,3
1/24/2024,-2808.3538,-41.2993,68,149.8054,965084.59,14192.4204,1,0,0.147058824,-0.290995611,Neutral,48,3
1/25/2024,-3093.6294,-515.6049,6,356.6379,66566.13,11094.355,1,0,0,-4.647452691,Neutral,52,3
1/26/2024,90.2,18.04,5,40.3387,11773.21,2354.642,2,0,0.2,0.766146191,Neutral,49,3
1/28/2024,-2478.0697,-225.2791,11,262.6842,18109.03,1646.2755,1,0,0,-13.68416586,Neutral,54,3
1/29/2024,486.5625,6.5752,74,28.607,414208.18,5597.4078,2,0,0.608108108,0.117468105,Greed,55,4
1/30/2024,-173.6542,-3.544,49,55.423,401011.38,8183.9057,1,0,0.102040816,-0.043304058,Greed,61,4
1/31/2024,-799.8408,-0.9311,859,21.8495,6305647.13,7340.6835,1,0,0.268917346,-0.012684516,Greed,60,4
2/1/2024,0,0,6,0,2008.18,334.6967,1,0,0,0,Greed,63,4
2/2/2024,456.4235,10.8672,42,41.9312,474278.43,11292.3436,1,0,0.30952381,0.096235349,Greed,63,4
2/3/2024,223.3092,3.9877,56,68.6266,603820,10782.5,1,0,0.107142857,0.036982743,Greed,60,4
2/4/2024,47.6239,1.3607,35,31.9228,203187.53,5805.358,1,0,0.257142857,0.023438397,Greed,60,4
2/5/2024,-33.4542,-0.4646,72,46.1079,770198.26,10697.1981,1,0,0.194444444,-0.004343583,Greed,60,4
2/6/2024,-215.6159,-0.1982,1088,12.6913,8047153.41,7396.2807,1,0,0.164522059,-0.002679406,Greed,64,4
2/7/2024,241.2421,16.0828,15,56.5466,6758.73,450.582,1,0,0.133333333,3.56934069,Greed,62,4
2/8/2024,770.756,77.0756,10,139.7457,26051.12,2605.112,1,0,0.4,2.958629034,Greed,66,4
2/11/2024,983.4432,28.9248,34,108.6223,212311.82,6244.4653,1,0,0.205882353,0.463206994,Greed,71,4
2/12/2024,913.8818,57.1176,16,828.6571,227247.7,14202.9812,1,0,0.375,0.402152277,Greed,70,4
2/13/2024,559.4439,39.9603,14,37.9802,1999.99,142.8564,1,0,1,27.97233486,Extreme Greed,79,5
2/14/2024,3830.5998,34.5099,111,46.3959,320839.88,2890.4494,2,0,0.747747748,1.193928822,Greed,74,4
2/15/2024,1840.7977,29.219,63,316.4936,185188.04,2939.4927,2,0,0.904761905,0.994015434,Greed,72,4
2/16/2024,5491.7688,30.1746,182,123.4402,564896.51,3103.827,2,0,0.802197802,0.972172549,Greed,72,4
2/17/2024,1929.6418,20.5281,94,60.9982,406118.07,4320.405,2,0,0.64893617,0.475143054,Extreme Greed,76,5
2/18/2024,477.6248,4.924,97,82.7054,157048.17,1619.0533,1,0,0.628865979,0.304126307,Greed,72,4
2/19/2024,4317.7686,42.7502,101,118.6512,286377.2,2835.4178,2,0,0.762376238,1.507720796,Extreme Greed,75,5
2/20/2024,3263.6288,83.6828,39,192.3203,119419.72,3062.0441,2,0,0.794871795,2.73290609,Greed,72,4
2/21/2024,1858.7986,84.4908,22,124.4029,108047.52,4911.2509,2,0,0.681818182,1.72035286,Extreme Greed,78,5
2/22/2024,3894.1051,44.2512,88,227.5825,373033.87,4239.0212,2,0,0.454545455,1.043901215,Greed,74,4
